n,o2,youo2
1,0.00000111,0.00000109
10,0.0000508,0.00005826
20,0.00025279,0.00022545
30,0.00061483,0.00052127
40,0.00129115,0.00116058
50,0.00188504,0.00145337
60,0.00275011,0.00209027
70,0.0036898,0.00368809
80,0.00538471,0.0040331
90,0.00707804,0.00525558
100,0.00908184,0.00617145
200,0.0409089,0.0265722
300,0.0991371,0.0561192
400,0.181241,0.0950886
500,0.321274,0.155334
600,0.419857,0.218037
700,0.667373,0.310642
800,0.910234,0.487119
900,1.17928,0.607813
1000,2.36139,0.705159
2000,25.3287,2.82695
3000,64.5578,7.62752
4000,123.926,15.0833
5000,188.828,22.2829
10000,1211.01,115.763
